"Pågående sjukfall efter region, kön, ålder och år"

"region";"kön";"ålder";"2014"
"1278 Båstad";"totalt";"samtliga åldrar";179
"1280 Malmö";"totalt";"samtliga åldrar";4959
"1281 Lund";"totalt";"samtliga åldrar";1543
"1282 Landskrona";"totalt";"samtliga åldrar";769
"1283 Helsingborg";"totalt";"samtliga åldrar";1979
"1284 Höganäs";"totalt";"samtliga åldrar";381
"1285 Eslöv";"totalt";"samtliga åldrar";611
"1286 Ystad";"totalt";"samtliga åldrar";531
"1287 Trelleborg";"totalt";"samtliga åldrar";805
"1290 Kristianstad";"totalt";"samtliga åldrar";1326
"1291 Simrishamn";"totalt";"samtliga åldrar";248
"1292 Ängelholm";"totalt";"samtliga åldrar";603
"1293 Hässleholm";"totalt";"samtliga åldrar";803
"1315 Hylte";"totalt";"samtliga åldrar";130
"1380 Halmstad";"totalt";"samtliga åldrar";1771
"1381 Laholm";"totalt";"samtliga åldrar";391
"1382 Falkenberg";"totalt";"samtliga åldrar";843
"1383 Varberg";"totalt";"samtliga åldrar";1075
"1384 Kungsbacka";"totalt";"samtliga åldrar";1306
"1401 Härryda";"totalt";"samtliga åldrar";748
"1402 Partille";"totalt";"samtliga åldrar";806
"1407 Öckerö";"totalt";"samtliga åldrar";253
"1415 Stenungsund";"totalt";"samtliga åldrar";588
"1419 Tjörn";"totalt";"samtliga åldrar";306
"1421 Orust";"totalt";"samtliga åldrar";314
"1427 Sotenäs";"totalt";"samtliga åldrar";191
"1430 Munkedal";"totalt";"samtliga åldrar";201
"1435 Tanum";"totalt";"samtliga åldrar";222
"1438 Dals-Ed";"totalt";"samtliga åldrar";80
"1439 Färgelanda";"totalt";"samtliga åldrar";147
"1440 Ale";"totalt";"samtliga åldrar";726
"1441 Lerum";"totalt";"samtliga åldrar";893
"1442 Vårgårda";"totalt";"samtliga åldrar";223
"1443 Bollebygd";"totalt";"samtliga åldrar";202
"1444 Grästorp";"totalt";"samtliga åldrar";123
"1445 Essunga";"totalt";"samtliga åldrar";111
"1446 Karlsborg";"totalt";"samtliga åldrar";141
"1447 Gullspång";"totalt";"samtliga åldrar";111
"1452 Tranemo";"totalt";"samtliga åldrar";213
"1460 Bengtsfors";"totalt";"samtliga åldrar";140
"1461 Mellerud";"totalt";"samtliga åldrar";186
"1462 Lilla Edet";"totalt";"samtliga åldrar";319
"1463 Mark";"totalt";"samtliga åldrar";858
"1465 Svenljunga";"totalt";"samtliga åldrar";223
"1466 Herrljunga";"totalt";"samtliga åldrar";220
"1470 Vara";"totalt";"samtliga åldrar";363
"1471 Götene";"totalt";"samtliga åldrar";330
"1472 Tibro";"totalt";"samtliga åldrar";221
"1473 Töreboda";"totalt";"samtliga åldrar";221
"1480 Göteborg";"totalt";"samtliga åldrar";10608
"1481 Mölndal";"totalt";"samtliga åldrar";1311
"1482 Kungälv";"totalt";"samtliga åldrar";876
"1484 Lysekil";"totalt";"samtliga åldrar";331
"1485 Uddevalla";"totalt";"samtliga åldrar";1128
"1486 Strömstad";"totalt";"samtliga åldrar";253
"1487 Vänersborg";"totalt";"samtliga åldrar";878
"1488 Trollhättan";"totalt";"samtliga åldrar";1147
"1489 Alingsås";"totalt";"samtliga åldrar";930
"1490 Borås";"totalt";"samtliga åldrar";2358
"1491 Ulricehamn";"totalt";"samtliga åldrar";465
"1492 Åmål";"totalt";"samtliga åldrar";267
"1493 Mariestad";"totalt";"samtliga åldrar";546
"1494 Lidköping";"totalt";"samtliga åldrar";894
"1495 Skara";"totalt";"samtliga åldrar";457
"1496 Skövde";"totalt";"samtliga åldrar";1031
"1497 Hjo";"totalt";"samtliga åldrar";171
"1498 Tidaholm";"totalt";"samtliga åldrar";327
"1499 Falköping";"totalt";"samtliga åldrar";606
"1715 Kil";"totalt";"samtliga åldrar";213
"1730 Eda";"totalt";"samtliga åldrar";144
"1737 Torsby";"totalt";"samtliga åldrar";183
"1760 Storfors";"totalt";"samtliga åldrar";71
"1761 Hammarö";"totalt";"samtliga åldrar";217
"1762 Munkfors";"totalt";"samtliga åldrar";68
"1763 Forshaga";"totalt";"samtliga åldrar";253
"1764 Grums";"totalt";"samtliga åldrar";189
"1765 Årjäng";"totalt";"samtliga åldrar";172
"1766 Sunne";"totalt";"samtliga åldrar";202
"1780 Karlstad";"totalt";"samtliga åldrar";1418
"1781 Kristinehamn";"totalt";"samtliga åldrar";445
"1782 Filipstad";"totalt";"samtliga åldrar";209
"1783 Hagfors";"totalt";"samtliga åldrar";290
"1784 Arvika";"totalt";"samtliga åldrar";608
"1785 Säffle";"totalt";"samtliga åldrar";342
"1814 Lekeberg";"totalt";"samtliga åldrar";140
"1860 Laxå";"totalt";"samtliga åldrar";123
"1861 Hallsberg";"totalt";"samtliga åldrar";332
"1862 Degerfors";"totalt";"samtliga åldrar";227
"1863 Hällefors";"totalt";"samtliga åldrar";147
"1864 Ljusnarsberg";"totalt";"samtliga åldrar";111
"1880 Örebro";"totalt";"samtliga åldrar";2704
"1881 Kumla";"totalt";"samtliga åldrar";520
"1882 Askersund";"totalt";"samtliga åldrar";262
"1883 Karlskoga";"totalt";"samtliga åldrar";720
"1884 Nora";"totalt";"samtliga åldrar";185
"1885 Lindesberg";"totalt";"samtliga åldrar";466
"1904 Skinnskatteberg";"totalt";"samtliga åldrar";79
"1907 Surahammar";"totalt";"samtliga åldrar";223
"1917 Heby";"totalt";"samtliga åldrar";0
"1960 Kungsör";"totalt";"samtliga åldrar";174
"1961 Hallstahammar";"totalt";"samtliga åldrar";283
"1962 Norberg";"totalt";"samtliga åldrar";94
"1980 Västerås";"totalt";"samtliga åldrar";2802
"1981 Sala";"totalt";"samtliga åldrar";419
"1982 Fagersta";"totalt";"samtliga åldrar";199
"1983 Köping";"totalt";"samtliga åldrar";487
"1984 Arboga";"totalt";"samtliga åldrar";242
"2021 Vansbro";"totalt";"samtliga åldrar";119
"2023 Malung-Sälen";"totalt";"samtliga åldrar";163
"2026 Gagnef";"totalt";"samtliga åldrar";207
