Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Lyckeby;65120;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1990-01-01 00:00:00;2016-01-31 23:59:59;25.0;56.2142;15.713

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;88.7;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;47.9;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;32.2;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;29.2;Y
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;13.3;Y
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;62.4;Y
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;12.0;Y
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;27.6;Y
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;117.1;Y
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;36.6;Y
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;88.9;Y
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;44.3;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;113.2;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;34.1;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;126.0;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;54.9;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;1.8;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;67.5;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;17.1;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;35.6;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;60.8;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;42.5;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;47.4;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;35.3;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;31.5;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;90.3;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;45.3;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;45.7;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;41.9;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;35.7;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;56.7;Y
