Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kållered D;72360;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1994-04-01 00:00:00;2016-03-02 09:00:00;30.0;57.6095;12.0673

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;212.9;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;70.3;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;118.3;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;43.5;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;91.8;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;97.0;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;93.6;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;69.9;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;67.2;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;39.4;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;169.2;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;196.8;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;158.7;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;75.9;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;78.2;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;49.3;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;88.2;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;39.2;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;74.2;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;36.9;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;104.7;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;103.9;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;84.9;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;51.5;Y
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;53.5;Y
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;174.2;Y
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;112.4;Y
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;51.1;Y
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;32.2;Y
2002-05-01 06:00:01;2002-06-01 06:00:00;2002-05;80.9;Y
2002-06-01 06:00:01;2002-07-01 06:00:00;2002-06;129.7;Y
2002-07-01 06:00:01;2002-08-01 06:00:00;2002-07;113.9;Y
2002-08-01 06:00:01;2002-09-01 06:00:00;2002-08;65.5;Y
2002-09-01 06:00:01;2002-10-01 06:00:00;2002-09;26.2;Y
2002-10-01 06:00:01;2002-11-01 06:00:00;2002-10;96.8;Y
2002-11-01 06:00:01;2002-12-01 06:00:00;2002-11;80.7;Y
2002-12-01 06:00:01;2003-01-01 06:00:00;2002-12;19.2;Y
2003-01-01 06:00:01;2003-02-01 06:00:00;2003-01;81.8;Y
2003-02-01 06:00:01;2003-03-01 06:00:00;2003-02;42.5;Y
2003-03-01 06:00:01;2003-04-01 06:00:00;2003-03;19.9;Y
2003-04-01 06:00:01;2003-05-01 06:00:00;2003-04;108.7;Y
2003-05-01 06:00:01;2003-06-01 06:00:00;2003-05;73.1;Y
2003-06-01 06:00:01;2003-07-01 06:00:00;2003-06;72.8;Y
2003-07-01 06:00:01;2003-08-01 06:00:00;2003-07;113.9;Y
2003-08-01 06:00:01;2003-09-01 06:00:00;2003-08;57.8;Y
2003-09-01 06:00:01;2003-10-01 06:00:00;2003-09;25.2;Y
2003-10-01 06:00:01;2003-11-01 06:00:00;2003-10;81.0;Y
2003-11-01 06:00:01;2003-12-01 06:00:00;2003-11;90.1;Y
2003-12-01 06:00:01;2004-01-01 06:00:00;2003-12;120.4;Y
2004-01-01 06:00:01;2004-02-01 06:00:00;2004-01;77.4;Y
2004-02-01 06:00:01;2004-03-01 06:00:00;2004-02;43.1;Y
2004-03-01 06:00:01;2004-04-01 06:00:00;2004-03;65.1;Y
2004-04-01 06:00:01;2004-05-01 06:00:00;2004-04;29.6;Y
2004-05-01 06:00:01;2004-06-01 06:00:00;2004-05;39.5;Y
2004-06-01 06:00:01;2004-07-01 06:00:00;2004-06;84.5;Y
2004-07-01 06:00:01;2004-08-01 06:00:00;2004-07;106.7;Y
2004-08-01 06:00:01;2004-09-01 06:00:00;2004-08;98.0;Y
2004-09-01 06:00:01;2004-10-01 06:00:00;2004-09;98.5;Y
2004-10-01 06:00:01;2004-11-01 06:00:00;2004-10;110.7;Y
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;101.6;Y
2004-12-01 06:00:01;2005-01-01 06:00:00;2004-12;81.8;Y
2005-01-01 06:00:01;2005-02-01 06:00:00;2005-01;119.6;Y
2005-02-01 06:00:01;2005-03-01 06:00:00;2005-02;59.8;Y
2005-03-01 06:00:01;2005-04-01 06:00:00;2005-03;50.4;Y
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;31.3;Y
2005-05-01 06:00:01;2005-06-01 06:00:00;2005-05;63.1;Y
