Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stockholm;98210;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1786-02-01 00:00:00;2016-03-02 10:00:00;44.0;59.342;18.0575

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1791-11-01 06:00:01;1791-12-01 06:00:00;1791-11;38.0;G
1791-12-02 06:00:01;1792-01-01 06:00:00;1791-12;37.0;G
1792-01-02 06:00:01;1792-02-01 06:00:00;1792-01;22.0;G
1792-01-31 06:00:01;1792-03-01 06:00:00;1792-02;22.0;G
1792-03-02 06:00:01;1792-04-01 06:00:00;1792-03;16.0;G
1792-04-01 06:00:01;1792-05-01 06:00:00;1792-04;26.0;G
1792-05-02 06:00:01;1792-06-01 06:00:00;1792-05;28.0;G
1792-06-01 06:00:01;1792-07-01 06:00:00;1792-06;75.0;G
1792-07-02 06:00:01;1792-08-01 06:00:00;1792-07;79.0;G
1792-08-02 06:00:01;1792-09-01 06:00:00;1792-08;103.0;G
1792-09-01 06:00:01;1792-10-01 06:00:00;1792-09;157.0;G
1792-10-02 06:00:01;1792-11-01 06:00:00;1792-10;66.0;G
1792-11-01 06:00:01;1792-12-01 06:00:00;1792-11;97.0;G
1792-12-02 06:00:01;1793-01-01 06:00:00;1792-12;57.0;G
1793-01-02 06:00:01;1793-02-01 06:00:00;1793-01;9.0;G
1793-01-30 06:00:01;1793-03-01 06:00:00;1793-02;51.0;G
1793-03-02 06:00:01;1793-04-01 06:00:00;1793-03;22.0;G
1793-04-01 06:00:01;1793-05-01 06:00:00;1793-04;51.0;G
1793-05-02 06:00:01;1793-06-01 06:00:00;1793-05;41.0;G
1793-06-01 06:00:01;1793-07-01 06:00:00;1793-06;63.0;G
1793-07-02 06:00:01;1793-08-01 06:00:00;1793-07;57.0;G
1793-08-02 06:00:01;1793-09-01 06:00:00;1793-08;60.0;G
1793-09-01 06:00:01;1793-10-01 06:00:00;1793-09;48.0;G
1793-10-02 06:00:01;1793-11-01 06:00:00;1793-10;79.0;G
1793-11-01 06:00:01;1793-12-01 06:00:00;1793-11;102.0;G
1793-12-02 06:00:01;1794-01-01 06:00:00;1793-12;18.0;G
1794-01-02 06:00:01;1794-02-01 06:00:00;1794-01;32.0;G
1794-01-30 06:00:01;1794-03-01 06:00:00;1794-02;45.0;G
1794-03-02 06:00:01;1794-04-01 06:00:00;1794-03;5.0;G
1794-04-01 06:00:01;1794-05-01 06:00:00;1794-04;42.0;G
