Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Väse D;93210;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1972-08-01 00:00:00;2016-02-29 23:59:59;55.0;59.3675;13.8534

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;4.1;Y
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;9.2;Y
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;65.9;Y
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;61.5;Y
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;55.6;Y
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;80.9;Y
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;13.0;Y
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;31.6;Y
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;31.1;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;20.5;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;12.8;Y
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;56.1;Y
1979-04-01 06:00:01;1979-05-01 06:00:00;1979-04;55.5;Y
1979-05-01 06:00:01;1979-06-01 06:00:00;1979-05;42.2;Y
1979-06-01 06:00:01;1979-07-01 06:00:00;1979-06;42.3;Y
1979-07-01 06:00:01;1979-08-01 06:00:00;1979-07;120.0;Y
1979-08-01 06:00:01;1979-09-01 06:00:00;1979-08;91.2;Y
1979-09-01 06:00:01;1979-10-01 06:00:00;1979-09;50.2;Y
1979-10-01 06:00:01;1979-11-01 06:00:00;1979-10;44.3;Y
1979-11-01 06:00:01;1979-12-01 06:00:00;1979-11;125.7;Y
1979-12-01 06:00:01;1980-01-01 06:00:00;1979-12;46.1;Y
1980-01-01 06:00:01;1980-02-01 06:00:00;1980-01;7.3;Y
1980-02-01 06:00:01;1980-03-01 06:00:00;1980-02;24.1;Y
1980-03-01 06:00:01;1980-04-01 06:00:00;1980-03;15.9;Y
1980-04-01 06:00:01;1980-05-01 06:00:00;1980-04;9.2;Y
1980-05-01 06:00:01;1980-06-01 06:00:00;1980-05;25.7;Y
1980-06-01 06:00:01;1980-07-01 06:00:00;1980-06;63.5;Y
1980-07-01 06:00:01;1980-08-01 06:00:00;1980-07;27.7;Y
1980-08-01 06:00:01;1980-09-01 06:00:00;1980-08;131.0;Y
1980-09-01 06:00:01;1980-10-01 06:00:00;1980-09;71.4;Y
1980-10-01 06:00:01;1980-11-01 06:00:00;1980-10;120.2;Y
1980-11-01 06:00:01;1980-12-01 06:00:00;1980-11;64.1;Y
1980-12-01 06:00:01;1981-01-01 06:00:00;1980-12;73.7;Y
1981-01-01 06:00:01;1981-02-01 06:00:00;1981-01;25.7;Y
1981-02-01 06:00:01;1981-03-01 06:00:00;1981-02;24.9;Y
1981-03-01 06:00:01;1981-04-01 06:00:00;1981-03;68.3;Y
1981-04-01 06:00:01;1981-05-01 06:00:00;1981-04;8.2;Y
1981-05-01 06:00:01;1981-06-01 06:00:00;1981-05;36.5;Y
1981-06-01 06:00:01;1981-07-01 06:00:00;1981-06;155.1;Y
1981-07-01 06:00:01;1981-08-01 06:00:00;1981-07;79.3;Y
1981-08-01 06:00:01;1981-09-01 06:00:00;1981-08;37.2;Y
1981-09-01 06:00:01;1981-10-01 06:00:00;1981-09;34.1;Y
1981-10-01 06:00:01;1981-11-01 06:00:00;1981-10;145.8;Y
1981-11-01 06:00:01;1981-12-01 06:00:00;1981-11;141.8;Y
1981-12-01 06:00:01;1982-01-01 06:00:00;1981-12;21.8;Y
1982-01-01 06:00:01;1982-02-01 06:00:00;1982-01;33.3;Y
1982-02-01 06:00:01;1982-03-01 06:00:00;1982-02;27.6;Y
1982-03-01 06:00:01;1982-04-01 06:00:00;1982-03;67.0;Y
1982-04-01 06:00:01;1982-05-01 06:00:00;1982-04;46.7;Y
1982-05-01 06:00:01;1982-06-01 06:00:00;1982-05;55.9;Y
1982-06-01 06:00:01;1982-07-01 06:00:00;1982-06;27.6;Y
1982-07-01 06:00:01;1982-08-01 06:00:00;1982-07;41.3;Y
1982-08-01 06:00:01;1982-09-01 06:00:00;1982-08;84.4;Y
1982-09-01 06:00:01;1982-10-01 06:00:00;1982-09;63.3;Y
1982-10-01 06:00:01;1982-11-01 06:00:00;1982-10;68.3;Y
1982-11-01 06:00:01;1982-12-01 06:00:00;1982-11;112.8;Y
1982-12-01 06:00:01;1983-01-01 06:00:00;1982-12;71.2;Y
1983-01-01 06:00:01;1983-02-01 06:00:00;1983-01;58.4;Y
1983-02-01 06:00:01;1983-03-01 06:00:00;1983-02;7.9;Y
1983-03-01 06:00:01;1983-04-01 06:00:00;1983-03;46.9;Y
1983-04-01 06:00:01;1983-05-01 06:00:00;1983-04;70.1;Y
1983-05-01 06:00:01;1983-06-01 06:00:00;1983-05;104.8;Y
1983-06-01 06:00:01;1983-07-01 06:00:00;1983-06;34.4;Y
1983-07-01 06:00:01;1983-08-01 06:00:00;1983-07;20.9;Y
1983-08-01 06:00:01;1983-09-01 06:00:00;1983-08;0.2;Y
1983-09-01 06:00:01;1983-10-01 06:00:00;1983-09;115.9;Y
1983-10-01 06:00:01;1983-11-01 06:00:00;1983-10;46.9;Y
1983-11-01 06:00:01;1983-12-01 06:00:00;1983-11;21.9;Y
1983-12-01 06:00:01;1984-01-01 06:00:00;1983-12;59.3;Y
1984-01-01 06:00:01;1984-02-01 06:00:00;1984-01;63.0;Y
1984-02-01 06:00:01;1984-03-01 06:00:00;1984-02;31.0;Y
1984-03-01 06:00:01;1984-04-01 06:00:00;1984-03;17.6;Y
1984-04-01 06:00:01;1984-05-01 06:00:00;1984-04;14.4;Y
1984-05-01 06:00:01;1984-06-01 06:00:00;1984-05;33.3;Y
1984-06-01 06:00:01;1984-07-01 06:00:00;1984-06;101.5;Y
1984-07-01 06:00:01;1984-08-01 06:00:00;1984-07;50.6;Y
1984-08-01 06:00:01;1984-09-01 06:00:00;1984-08;26.3;Y
1984-09-01 06:00:01;1984-10-01 06:00:00;1984-09;124.5;Y
1984-10-01 06:00:01;1984-11-01 06:00:00;1984-10;133.5;Y
1984-11-01 06:00:01;1984-12-01 06:00:00;1984-11;50.9;Y
1984-12-01 06:00:01;1985-01-01 06:00:00;1984-12;58.7;Y
1985-01-01 06:00:01;1985-02-01 06:00:00;1985-01;66.4;Y
1985-02-01 06:00:01;1985-03-01 06:00:00;1985-02;9.0;Y
1985-03-01 06:00:01;1985-04-01 06:00:00;1985-03;86.8;Y
1985-04-01 06:00:01;1985-05-01 06:00:00;1985-04;59.2;Y
1985-05-01 06:00:01;1985-06-01 06:00:00;1985-05;22.7;Y
1985-06-01 06:00:01;1985-07-01 06:00:00;1985-06;101.0;Y
1985-07-01 06:00:01;1985-08-01 06:00:00;1985-07;92.8;Y
1985-08-01 06:00:01;1985-09-01 06:00:00;1985-08;60.6;Y
1985-09-01 06:00:01;1985-10-01 06:00:00;1985-09;75.6;Y
1985-10-01 06:00:01;1985-11-01 06:00:00;1985-10;34.8;Y
1985-11-01 06:00:01;1985-12-01 06:00:00;1985-11;49.5;Y
1985-12-01 06:00:01;1986-01-01 06:00:00;1985-12;75.5;Y
1986-01-01 06:00:01;1986-02-01 06:00:00;1986-01;53.3;Y
1986-02-01 06:00:01;1986-03-01 06:00:00;1986-02;0.3;Y
1986-03-01 06:00:01;1986-04-01 06:00:00;1986-03;64.2;Y
